#id subset paternal_id maternal_id gender population
HG00096 2 0 0 1 GBR
HG00097 3 0 0 2 GBR
HG00099 1 0 0 2 GBR
HG00100 3 0 0 2 GBR
HG00101 3 0 0 1 GBR
HG00102 3 0 0 2 GBR
HG00103 1 0 0 1 GBR
HG00105 2 0 0 1 GBR
HG00106 3 0 0 2 GBR
HG00107 1 0 0 1 GBR
HG00108 1 0 0 1 GBR
HG00109 3 0 0 1 GBR
HG00110 3 0 0 2 GBR
HG00111 1 0 0 2 GBR
HG00112 3 0 0 1 GBR
HG00113 3 0 0 1 GBR
HG00114 3 0 0 1 GBR
HG00115 1 0 0 1 GBR
HG00116 2 0 0 1 GBR
HG00117 1 0 0 1 GBR
HG00118 2 0 0 2 GBR
HG00119 3 0 0 1 GBR
HG00120 2 0 0 2 GBR
HG00121 1 0 0 2 GBR
HG00122 1 0 0 2 GBR
HG00123 2 0 0 2 GBR
HG00125 2 0 0 2 GBR
HG00126 2 0 0 1 GBR
HG00127 1 0 0 2 GBR
HG00128 1 0 0 2 GBR
HG00129 3 0 0 1 GBR
HG00130 1 0 0 2 GBR
HG00131 2 0 0 1 GBR
HG00132 2 0 0 2 GBR
HG00133 1 0 0 2 GBR
HG00136 2 0 0 1 GBR
HG00137 1 0 0 2 GBR
HG00138 3 0 0 1 GBR
HG00139 1 0 0 1 GBR
HG00140 2 0 0 1 GBR
HG00141 3 0 0 1 GBR
HG00142 3 0 0 1 GBR
HG00143 3 0 0 1 GBR
HG00145 3 0 0 1 GBR
HG00146 2 0 0 2 GBR
HG00148 3 0 0 1 GBR
HG00149 2 0 0 1 GBR
HG00150 2 0 0 2 GBR
HG00151 3 0 0 1 GBR
HG00154 2 0 0 2 GBR
HG00155 1 0 HG00144 1 GBR
HG00157 2 0 0 1 GBR
HG00158 2 0 0 2 GBR
HG00159 3 0 0 1 GBR
HG00160 3 0 0 1 GBR
HG00171 2 0 0 2 FIN
HG00173 3 0 0 2 FIN
HG00174 1 0 0 2 FIN
HG00176 3 0 0 2 FIN
HG00177 2 0 0 2 FIN
HG00178 2 0 0 2 FIN
HG00179 3 0 0 2 FIN
HG00180 1 0 0 2 FIN
HG00181 3 0 0 1 FIN
HG00182 1 0 0 1 FIN
HG00183 2 0 0 1 FIN
HG00185 2 0 0 1 FIN
HG00186 2 0 0 1 FIN
HG00187 3 0 0 1 FIN
HG00188 3 0 0 1 FIN
HG00189 3 0 0 1 FIN
HG00190 2 0 0 1 FIN
HG00231 2 0 0 2 GBR
HG00232 2 0 0 2 GBR
HG00233 2 0 0 2 GBR
HG00234 1 0 0 1 GBR
HG00235 3 0 0 2 GBR
HG00236 1 0 0 2 GBR
HG00237 3 0 0 2 GBR
HG00238 3 0 0 2 GBR
HG00239 1 0 0 2 GBR
HG00240 1 0 0 2 GBR
HG00242 1 0 0 1 GBR
HG00243 2 0 0 1 GBR
HG00244 3 0 0 1 GBR
HG00245 3 0 0 2 GBR
HG00246 3 0 0 1 GBR
HG00250 3 0 0 2 GBR
HG00251 3 0 0 1 GBR
HG00252 2 0 0 1 GBR
HG00253 1 0 0 2 GBR
HG00254 3 0 0 2 GBR
HG00255 1 0 0 2 GBR
HG00256 3 0 0 1 GBR
HG00257 3 0 0 2 GBR
HG00258 3 0 0 2 GBR
HG00259 1 0 0 2 GBR
HG00260 3 0 0 1 GBR
HG00261 2 0 0 2 GBR
HG00262 2 0 0 2 GBR
HG00263 2 0 0 2 GBR
